Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
BFO,842370,30,BANKEX,BANKEX25SEP65200CE,OPTIDX,25-SEP-2025,65200,CE
BFO,842658,30,BANKEX,BANKEX25SEP65100CE,OPTIDX,25-SEP-2025,65100,CE
BFO,842299,30,BANKEX,BANKEX25SEP65000CE,OPTIDX,25-SEP-2025,65000,CE
BFO,842798,30,BANKEX,BANKEX25SEP64900CE,OPTIDX,25-SEP-2025,64900,CE
BFO,843125,30,BANKEX,BANKEX25SEP64800CE,OPTIDX,25-SEP-2025,64800,CE
BFO,842190,30,BANKEX,BANKEX25SEP64700CE,OPTIDX,25-SEP-2025,64700,CE
BFO,843044,30,BANKEX,BANKEX25SEP64600CE,OPTIDX,25-SEP-2025,64600,CE
BFO,842109,30,BANKEX,BANKEX25SEP64500CE,OPTIDX,25-SEP-2025,64500,CE
BFO,842956,30,BANKEX,BANKEX25SEP64400CE,OPTIDX,25-SEP-2025,64400,CE
BFO,842030,30,BANKEX,BANKEX25SEP64300CE,OPTIDX,25-SEP-2025,64300,CE
BFO,842879,30,BANKEX,BANKEX25SEP64200CE,OPTIDX,25-SEP-2025,64200,CE
BFO,841949,30,BANKEX,BANKEX25SEP64100CE,OPTIDX,25-SEP-2025,64100,CE
BFO,843041,30,BANKEX,BANKEX25SEP62300CE,OPTIDX,25-SEP-2025,62300,CE
BFO,842106,30,BANKEX,BANKEX25SEP62200CE,OPTIDX,25-SEP-2025,62200,CE
BFO,841955,30,BANKEX,BANKEX25SEP60400CE,OPTIDX,25-SEP-2025,60400,CE
BFO,842259,30,BANKEX,BANKEX25SEP60300CE,OPTIDX,25-SEP-2025,60300,CE
BFO,843121,30,BANKEX,BANKEX25SEP60200CE,OPTIDX,25-SEP-2025,60200,CE
BFO,842184,30,BANKEX,BANKEX25SEP60100CE,OPTIDX,25-SEP-2025,60100,CE
BFO,843038,30,BANKEX,BANKEX25SEP60000CE,OPTIDX,25-SEP-2025,60000,CE
BFO,842065,30,BANKEX,BANKEX25SEP59900CE,OPTIDX,25-SEP-2025,59900,CE
BFO,842354,30,BANKEX,BANKEX25SEP59800CE,OPTIDX,25-SEP-2025,59800,CE
BFO,841981,30,BANKEX,BANKEX25SEP59700CE,OPTIDX,25-SEP-2025,59700,CE
BFO,842282,30,BANKEX,BANKEX25SEP59600CE,OPTIDX,25-SEP-2025,59600,CE
BFO,842570,30,BANKEX,BANKEX25SEP59500CE,OPTIDX,25-SEP-2025,59500,CE
BFO,842207,30,BANKEX,BANKEX25SEP59400CE,OPTIDX,25-SEP-2025,59400,CE
BFO,842489,30,BANKEX,BANKEX25SEP59300CE,OPTIDX,25-SEP-2025,59300,CE
BFO,842129,30,BANKEX,BANKEX25SEP59200CE,OPTIDX,25-SEP-2025,59200,CE
BFO,842418,30,BANKEX,BANKEX25SEP59100CE,OPTIDX,25-SEP-2025,59100,CE
BFO,842884,30,BANKEX,BANKEX25SEP60500CE,OPTIDX,25-SEP-2025,60500,CE
BFO,842039,30,BANKEX,BANKEX25SEP60600CE,OPTIDX,25-SEP-2025,60600,CE
BFO,842960,30,BANKEX,BANKEX25SEP60700CE,OPTIDX,25-SEP-2025,60700,CE
BFO,842954,30,BANKEX,BANKEX25SEP62100CE,OPTIDX,25-SEP-2025,62100,CE
BFO,842027,30,BANKEX,BANKEX25SEP62000CE,OPTIDX,25-SEP-2025,62000,CE
BFO,842519,30,BANKEX,BANKEX25SEP61900CE,OPTIDX,25-SEP-2025,61900,CE
BFO,842837,30,BANKEX,BANKEX25SEP61800CE,OPTIDX,25-SEP-2025,61800,CE
BFO,842452,30,BANKEX,BANKEX25SEP61700CE,OPTIDX,25-SEP-2025,61700,CE
BFO,842750,30,BANKEX,BANKEX25SEP61600CE,OPTIDX,25-SEP-2025,61600,CE
BFO,842374,30,BANKEX,BANKEX25SEP61500CE,OPTIDX,25-SEP-2025,61500,CE
BFO,842667,30,BANKEX,BANKEX25SEP61400CE,OPTIDX,25-SEP-2025,61400,CE
BFO,842303,30,BANKEX,BANKEX25SEP61300CE,OPTIDX,25-SEP-2025,61300,CE
BFO,842593,30,BANKEX,BANKEX25SEP61200CE,OPTIDX,25-SEP-2025,61200,CE
BFO,842905,30,BANKEX,BANKEX25SEP61100CE,OPTIDX,25-SEP-2025,61100,CE
BFO,842509,30,BANKEX,BANKEX25SEP61000CE,OPTIDX,25-SEP-2025,61000,CE
BFO,843047,30,BANKEX,BANKEX25SEP60900CE,OPTIDX,25-SEP-2025,60900,CE
